date,close,volume,open,high,low
3/8/2019,172.91,23985960,170.32,173.07,169.5
3/7/2019,172.5,24755470,173.87,174.44,172.02
3/6/2019,174.52,20755140,174.67,175.49,173.94
3/5/2019,175.53,19238480,175.94,176,174.54
3/4/2019,175.85,27413060,175.69,177.75,173.97
3/1/2019,174.97,25737560,174.28,175.15,172.89
2/28/2019,173.15,27953810,174.32,174.91,172.92
2/27/2019,174.87,27817640,173.21,175,172.73
2/26/2019,174.33,16991610,173.71,175.3,173.1732
2/25/2019,174.23,21846400,174.16,175.87,173.95
2/22/2019,172.97,18890250,171.58,173,171.38
2/21/2019,171.06,17154540,171.8,172.37,170.3
2/20/2019,172.03,25323890,171.19,173.32,170.99
2/19/2019,170.93,18958570,169.71,171.44,169.49
2/15/2019,170.42,24603320,171.25,171.7,169.75
2/14/2019,170.8,21785180,169.71,171.2615,169.38
2/13/2019,170.18,22389660,171.39,172.48,169.92
2/12/2019,170.89,22224400,170.1,171,169.7
2/11/2019,169.43,20940020,171.05,171.21,169.25
2/8/2019,170.41,23793830,168.99,170.66,168.42
2/7/2019,170.94,31644240,172.4,173.94,170.34
2/6/2019,174.24,28204640,174.65,175.57,172.8531
2/5/2019,174.18,36054570,172.86,175.08,172.3501
2/4/2019,171.25,31384720,167.41,171.655,167.28
2/1/2019,166.52,32644590,166.96,168.98,165.93
1/31/2019,166.44,40613260,166.11,169,164.56
1/30/2019,165.25,60800480,163.25,166.15,160.23
1/29/2019,154.68,39914850,156.25,158.13,154.11
1/28/2019,156.3,26147280,155.79,156.33,153.66
1/25/2019,157.76,33508960,155.48,158.13,154.32
1/24/2019,152.7,25418110,154.11,154.48,151.74
1/23/2019,153.92,23046560,154.15,155.14,151.7
1/22/2019,153.3,30273990,156.41,156.73,152.62
1/18/2019,156.82,33259460,157.5,157.88,155.9806
1/17/2019,155.86,29616190,154.2,157.66,153.26
1/16/2019,154.94,30483120,153.08,155.88,153
1/15/2019,153.07,28449940,150.27,153.39,150.05
1/14/2019,150,32018540,150.85,151.27,149.22
1/11/2019,152.29,26924630,152.88,153.7,151.51
1/10/2019,153.8,35661200,152.5,153.97,150.86
1/9/2019,153.31,45034370,151.29,154.53,149.63
1/8/2019,150.75,40622910,149.56,151.82,148.52
1/7/2019,147.93,54571440,148.7,148.83,145.9
1/4/2019,148.26,57423650,144.53,148.5499,143.8
1/3/2019,142.19,91106840,143.98,145.72,142
1/2/2019,157.92,35637070,154.89,158.85,154.23
12/31/2018,157.74,34499390,158.53,159.36,156.48
12/28/2018,156.23,41740600,157.5,158.52,154.55
12/27/2018,156.15,51608850,155.84,156.77,150.07
12/26/2018,157.17,58133850,148.3,157.23,146.72
12/24/2018,146.83,37169230,148.15,151.55,146.59
12/21/2018,150.73,95497900,156.86,158.16,149.63
12/20/2018,156.83,64398230,160.4,162.11,155.3
12/19/2018,160.89,47597670,166,167.45,159.09
12/18/2018,166.07,33753490,165.38,167.53,164.39
12/17/2018,163.94,43250420,165.45,168.35,162.73
12/14/2018,165.48,40620360,169,169.08,165.28
12/13/2018,170.95,31754210,170.49,172.57,169.55
12/12/2018,169.1,35474680,170.4,171.92,169.02
12/11/2018,168.63,45968040,171.66,171.79,167
12/10/2018,169.6,61759000,165,170.09,163.33
